Division Name,Zila Name,Upazila Name,Total Population (N),Rural Population (%),Working-age population (N),Number of Households (N),Poverty headcount ratio (%),Extreme poverty headcount ratio (%),Primary employment: Agriculture (%),Primary employment: Industry (%),Primary employment: Services (%),Households with Electricity (%),Households with flush toilet (%),"Households with non-flush, latrine (%)",Literate population (18 years and older) (%), Educational attainment: Less than primary completed (18 years and older) (%), Educational attainment: Primary completed (18 years and older) (%), Educational attainment: Secondary completed (18 years and older)(%), Educational attainment: University completed (18 years and older) (%),School attendance among 6-18 years old (%),School attendance among 6-10 years old (%),School attendance among 11-13 years old (%),School attendance among 14-15 years old (%),School attendance among 16-18 years old (%),Percentage of underweight children (%),Percentage of severely underweight children (%),Percentage of stunted children (%),Percentage of severely stunted children (%),Households with tap water (%),Households with tubewell water (%),"Households without toilet, open defecation (%)"
BARISAL,BARISAL,AGAILJHARA,148820,93.4,87360,32840,51.1,38.2,64.0,7.7,28.3,48.0,39.1,45.7,62.6,40.9,42.1,14.0,2.9,80.9,87.7,88.2,70.9,46.2,30.4,6.5,36.8,20.5,0.4,88.1,2.4
BARISAL,BARGUNA,AMTALI,269300,91.9,159200,63220,22.8,12.0,72.1,5.0,22.9,22.3,21.7,45.5,51.9,51.1,38.3,8.7,2.0,74.8,81.2,79.5,64.0,37.7,34.5,8.0,39.4,22.4,1.2,96.7,4.5
BARISAL,BARISAL,BABUGANJ,139000,93.2,81000,31680,48.7,36.8,51.7,10.0,38.3,62.8,32.6,55.2,68.9,33.0,48.3,16.3,2.5,80.1,85.1,88.5,73.2,48.5,28.9,6.1,36.1,19.9,0.8,97.5,0.3
BARISAL,BARISAL,BAKERGANJ,312060,93.6,178500,71540,55.4,42.2,50.5,11.3,38.2,45.8,29.5,47.5,61.8,40.1,43.6,13.8,2.5,78.6,83.9,86.6,71.7,43.6,31.6,7.0,38.9,22.1,0.1,97.5,2.1
BARISAL,BARGUNA,BAMNA,77140,90.2,47440,19540,17.0,8.9,59.5,14.0,26.5,29.1,34.1,49.8,62.3,38.7,46.4,12.5,2.4,76.5,84.2,85.1,58.9,43.2,31.1,6.7,38.5,21.7,0.0,98.1,1.6
BARISAL,BARISAL,BANARI PARA,148520,89.1,88660,34200,52.2,38.1,53.6,5.7,40.7,47.4,58.9,34.5,67.6,37.3,45.9,13.9,3.0,79.0,86.0,84.7,72.0,45.0,29.6,6.3,37.3,20.8,0.4,98.9,0.2
BARISAL,BARGUNA,BARGUNA SADAR,263080,87.9,158080,62080,19.2,9.9,56.9,6.3,36.8,31.8,25.6,47.2,58.1,42.0,42.9,11.9,3.1,80.7,86.3,86.2,74.4,47.5,31.7,7.0,38.9,22.1,0.4,94.5,2.9
BARISAL,BARISAL,BARISAL SADAR (KOTWALI),515940,36.0,326860,114780,49.9,31.0,17.6,13.7,68.7,80.5,34.3,46.0,71.2,29.4,38.5,23.7,8.4,74.6,83.9,79.5,66.1,45.9,27.3,5.6,38.5,21.7,6.2,91.6,1.2
BARISAL,PATUAKHALI,BAUPHAL,301220,94.6,172920,67840,24.0,13.9,50.8,11.9,37.3,38.9,19.6,51.7,56.9,44.2,38.7,14.5,2.6,76.3,80.3,83.3,71.2,48.7,33.9,7.8,40.5,23.3,0.2,97.3,1.1
BARISAL,BARGUNA,BETAGI,118260,89.3,69280,27920,19.6,10.3,62.5,7.6,29.9,34.0,28.9,49.6,57.4,41.3,41.9,14.2,2.6,79.7,84.6,86.7,74.6,47.8,31.8,7.0,37.7,21.4,0.1,94.9,0.9
