"","LFP_Disability$Date","LFP_Disability$LFP_D","LFP_No_Disability$LFP_ND"
"1","2008-06-01",21.7,72.6
"2","2008-07-01",23,72.7
"3","2008-08-01",23.1,72.2
"4","2008-09-01",23.6,71.6
"5","2008-10-01",23.1,71.7
"6","2008-11-01",23.1,71.4
"7","2008-12-01",23,71.2
"8","2009-01-01",23.1,70.8
"9","2009-02-01",23,70.9
"10","2009-03-01",22.8,70.9
"11","2009-04-01",22.8,70.9
"12","2009-05-01",22.9,71.1
"13","2009-06-01",22.6,71.9
"14","2009-07-01",23,71.8
"15","2009-08-01",22.2,71.2
"16","2009-09-01",22,70.5
"17","2009-10-01",21.7,70.5
"18","2009-11-01",21.5,70.4
"19","2009-12-01",21.6,70
"20","2010-01-01",21.8,70.1
"21","2010-02-01",21.9,70.1
"22","2010-03-01",22.5,70.2
"23","2010-04-01",22.2,70.2
"24","2010-05-01",22.3,70.1
"25","2010-06-01",21.7,70.5
"26","2010-07-01",21.5,70.6
"27","2010-08-01",22,70.2
"28","2010-09-01",21.6,69.9
"29","2010-10-01",21.4,69.8
"30","2010-11-01",21.5,69.8
"31","2010-12-01",21,69.6
"32","2011-01-01",20.1,69.5
"33","2011-02-01",20.6,69.5
"34","2011-03-01",21,69.7
"35","2011-04-01",20.6,69.6
"36","2011-05-01",21.1,69.7
"37","2011-06-01",21.3,70.2
"38","2011-07-01",21.2,70.2
"39","2011-08-01",21,69.9
"40","2011-09-01",21.1,69.7
"41","2011-10-01",21.3,69.6
"42","2011-11-01",20.8,69.5
"43","2011-12-01",20.7,69.3
"44","2012-01-01",20,68.9
"45","2012-02-01",19.9,69.2
"46","2012-03-01",20.1,69.3
"47","2012-04-01",20.3,69.1
"48","2012-05-01",20.7,69.4
"49","2012-06-01",20.5,70
"50","2012-07-01",20.7,70
"51","2012-08-01",20.9,69.4
"52","2012-09-01",21.1,69.3
"53","2012-10-01",21.5,69.5
"54","2012-11-01",20.7,69.2
"55","2012-12-01",20.5,69.1
"56","2013-01-01",20.8,68.9
"57","2013-02-01",20.7,68.8
"58","2013-03-01",20.7,68.7
"59","2013-04-01",20.7,68.8
"60","2013-05-01",20.7,69.1
"61","2013-06-01",20.2,69.7
"62","2013-07-01",20.3,69.7
"63","2013-08-01",20.5,69.1
"64","2013-09-01",20.9,68.8
"65","2013-10-01",20,68.5
"66","2013-11-01",19.6,68.6
"67","2013-12-01",18.7,68.3
"68","2014-01-01",18.2,68.3
"69","2014-02-01",19.1,68.5
"70","2014-03-01",19.5,68.7
"71","2014-04-01",19.1,68.3
"72","2014-05-01",19.5,68.7
"73","2014-06-01",19.3,69.2
"74","2014-07-01",19.4,69.4
"75","2014-08-01",19.8,68.8
"76","2014-09-01",20.1,68.5
"77","2014-10-01",20,68.8
"78","2014-11-01",19.7,68.7
"79","2014-12-01",20.3,68.1
"80","2015-01-01",19.6,68.2
"81","2015-02-01",19.8,68.2
"82","2015-03-01",19.8,68.3
"83","2015-04-01",19.3,68.4
"84","2015-05-01",19.8,68.8
"85","2015-06-01",20,69.1
"86","2015-07-01",19.8,69
"87","2015-08-01",19.5,68.5
"88","2015-09-01",19.1,68.2
"89","2015-10-01",19.4,68.4
"90","2015-11-01",19.2,68.3
"91","2015-12-01",19.2,68.1
"92","2016-01-01",19.5,67.9
"93","2016-02-01",19.5,68.2
"94","2016-03-01",19.9,68.6
"95","2016-04-01",20.4,68.3
"96","2016-05-01",20.5,68.4
"97","2016-06-01",20.6,69
"98","2016-07-01",20.4,69.2
"99","2016-08-01",19.8,68.8
"100","2016-09-01",19.8,68.7
"101","2016-10-01",20,68.6
"102","2016-11-01",20,68.4
"103","2016-12-01",20.1,68.1
"104","2017-01-01",19.5,68.2
"105","2017-02-01",20.4,68.4
"106","2017-03-01",20.4,68.7
"107","2017-04-01",20.1,68.6
"108","2017-05-01",20.6,68.6
"109","2017-06-01",20.7,69.1
"110","2017-07-01",20.8,69.2
"111","2017-08-01",20.5,68.8
"112","2017-09-01",21.2,68.7
"113","2017-10-01",21,68.3
"114","2017-11-01",20.8,68.3
"115","2017-12-01",20.9,67.9
"116","2018-01-01",20.4,67.8
"117","2018-02-01",20.7,68.4
"118","2018-03-01",21.5,68.4
"119","2018-04-01",20.9,68.3
"120","2018-05-01",20.1,68.6
"121","2018-06-01",20.2,69.1
"122","2018-07-01",20.2,69.2
"123","2018-08-01",20.8,68.2
"124","2018-09-01",21.4,68.2
"125","2018-10-01",21.5,68.4
"126","2018-11-01",21.1,68.4
"127","2018-12-01",20.7,68.4
"128","2019-01-01",20.5,68.3
"129","2019-02-01",20.9,68.6
"130","2019-03-01",21.5,68.5
"131","2019-04-01",20.7,68.3
"132","2019-05-01",20.6,68.5
"133","2019-06-01",20.9,69.1
"134","2019-07-01",20.8,69.2
"135","2019-08-01",21.3,68.7
"136","2019-09-01",20.6,68.7
"137","2019-10-01",20.6,68.9
"138","2019-11-01",20.7,68.9
"139","2019-12-01",20.5,68.7
"140","2020-01-01",20.4,68.7
"141","2020-02-01",20.7,69
"142","2020-03-01",21,68.1
"143","2020-04-01",19.8,65.2
"144","2020-05-01",20.4,66
"145","2020-06-01",21,67.1
"146","2020-07-01",20.2,67.2
"147","2020-08-01",20.6,67
"148","2020-09-01",20.3,66.7
"149","2020-10-01",20.6,67
"150","2020-11-01",20.4,66.8
"151","2020-12-01",20,66.6
"152","2021-01-01",19.6,66.4
"153","2021-02-01",19.9,66.7
"154","2021-03-01",20.2,66.8
